IDBerco,Nome_Berco,Terminal,Taxa_Media_Pct,Taxa_Carga_Media_Pct,Dias_Acima_80,N_Dias,Status,Categoria
SSZ0812,Cais da Santos Brasil (SSZ 16) - Privativo,Cais da Santos Brasil (SSZ 16) - Privativo,83.0,82.9,253,365,Vermelho,A — Claramente contentores
SSZ0813,Cais da Santos Brasil (SSZ 16) - Privativo,Cais da Santos Brasil (SSZ 16) - Privativo,82.7,82.7,243,365,Vermelho,A — Claramente contentores
SSZ0811,Cais da Santos Brasil (SSZ 16) - Privativo,Cais da Santos Brasil (SSZ 16) - Privativo,80.6,80.5,245,365,Vermelho,A — Claramente contentores
SSZ0108,Cais da BTP (SSZ 41) - Privativo,Cais da BTP (SSZ 41) - Privativo,80.4,80.4,228,365,Vermelho,A — Claramente contentores
BRSP0080001,Berço 1,DP World Santos,80.3,80.3,242,365,Vermelho,A — Claramente contentores
SSZ0109,Cais da BTP (SSZ 41) - Privativo,Cais da BTP (SSZ 41) - Privativo,77.3,77.3,202,365,Amarelo,A — Claramente contentores
BRSP0080002,Berço 2,DP World Santos,76.1,76.1,223,365,Amarelo,A — Claramente contentores
BRSP0085003,Berço 3,DP World Santos,68.2,68.0,201,365,Amarelo,A — Claramente contentores
SSZ0107,Cais da BTP (SSZ 41) - Privativo,Cais da BTP (SSZ 41) - Privativo,65.4,65.4,165,365,Amarelo,A — Claramente contentores
BRSP0085004,Berço 4,DP World Santos,63.2,63.2,194,365,Amarelo,A — Claramente contentores
SSZ0814,Cais da Santos Brasil (SSZ 16) - Privativo,Cais da Santos Brasil (SSZ 16) - Privativo,48.9,48.4,124,365,Verde,A — Claramente contentores
SSZ0214,Cais da Ecoporto (SSZ 35) - Privativo,Cais da Ecoporto (SSZ 35) - Privativo,42.9,42.6,126,365,Verde,A — Claramente contentores
SSZ0310,Cais da Ecoporto (SSZ 35) - Privativo,Cais da Ecoporto (SSZ 35) - Privativo,42.4,40.6,112,365,Verde,A — Claramente contentores
SSZ0664,Libra Terminais S/A (cadastro antigo),Libra Terminais S/A (cadastro antigo),41.3,41.2,122,365,Verde,A — Claramente contentores
SSZ0240,Cais da Ecoporto (SSZ 35) - Privativo,Cais da Ecoporto (SSZ 35) - Privativo,6.7,5.7,15,365,Verde,A — Claramente contentores
SSZ0102,Píer da Alamoa - Público,Píer da Alamoa - Público,86.2,85.3,297,365,Vermelho,B — Provavelmente misto
SSZ0737,T-37 (cadastro antigo),T-37 (cadastro antigo),86.2,86.2,291,365,Vermelho,B — Provavelmente misto
SSZ0420,Cais do Outeirinhos - Público,Cais do Outeirinhos - Público,85.5,85.5,290,365,Vermelho,B — Provavelmente misto
SSZ0759,Cais da Ponta da Praia - Público,Cais da Ponta da Praia - Público,85.3,85.1,297,365,Vermelho,B — Provavelmente misto
SSZ0103,Píer da Alamoa - Público,Píer da Alamoa - Público,85.0,84.2,298,365,Vermelho,B — Provavelmente misto
SSZ0748,Cais da Ponta da Praia - Público,Cais da Ponta da Praia - Público,83.6,83.6,290,365,Vermelho,B — Provavelmente misto
SSZ0419,Cais do Outeirinhos - Público,Cais do Outeirinhos - Público,83.5,83.3,284,365,Vermelho,B — Provavelmente misto
SSZ0101,Píer da Alamoa - Público,Píer da Alamoa - Público,83.0,81.2,274,365,Vermelho,B — Provavelmente misto
SSZ0640,Cais do Macuco - Público,Cais do Macuco - Público,78.5,75.2,274,365,Amarelo,B — Provavelmente misto
SSZ0675,Cais do Macuco - Público,Cais do Macuco - Público,76.0,75.3,260,365,Amarelo,B — Provavelmente misto
SSZ0104,Píer da Alamoa - Público,Píer da Alamoa - Público,75.9,75.9,251,365,Amarelo,B — Provavelmente misto
