Porto,Pais_Nome,CO_PAIS,Sentido,CO_ANO,VL_FOB,KG
Itajaí,Alemanha,232,EXP,2023,58749,4132
Itajaí,Alemanha,232,EXP,2024,50095,2388
Itajaí,Alemanha,232,IMP,2023,5023522,31353
Itajaí,Alemanha,232,IMP,2024,7321304,41695
Itajaí,Argentina,23,EXP,2023,12154020,639161
Itajaí,Argentina,23,EXP,2024,13083050,593503
Itajaí,Argentina,23,IMP,2023,295931634,1760371
Itajaí,Argentina,23,IMP,2024,434539967,2475009
Itajaí,Austrália,72,EXP,2023,935502,49561
Itajaí,Austrália,72,EXP,2024,2717139,64565
Itajaí,Austrália,72,IMP,2023,30659588,266340
Itajaí,Austrália,72,IMP,2024,30178379,296260
Itajaí,Bolívia,87,EXP,2023,1756126,311323
Itajaí,Bolívia,87,EXP,2024,1870569,273746
Itajaí,Bolívia,87,IMP,2023,5176466,20825
Itajaí,Bolívia,87,IMP,2024,10045780,26703
Itajaí,Bélgica,190,EXP,2023,4003587,152889
Itajaí,Bélgica,190,EXP,2024,1896496,90397
Itajaí,Bélgica,190,IMP,2023,53339328,210118
Itajaí,Bélgica,190,IMP,2024,58029938,363524
Itajaí,Canadá,169,EXP,2023,26828417,1099021
Itajaí,Canadá,169,EXP,2024,29091795,1334637
Itajaí,Canadá,169,IMP,2023,209465,9988
Itajaí,Canadá,169,IMP,2024,370174,9804
Itajaí,Chile,149,EXP,2023,6826962,248542
Itajaí,Chile,149,EXP,2024,7912419,234366
Itajaí,Chile,149,IMP,2023,45952166,113622
Itajaí,Chile,149,IMP,2024,68762704,135152
Itajaí,China,160,EXP,2023,6385695,337457
Itajaí,China,160,EXP,2024,8586031,456037
Itajaí,China,160,IMP,2023,311666096,2979179
Itajaí,China,160,IMP,2024,421318256,5687826
Itajaí,Colômbia,161,EXP,2023,364083,3689
Itajaí,Colômbia,161,EXP,2024,397107,4653
Itajaí,Colômbia,161,IMP,2023,70522331,310674
Itajaí,Colômbia,161,IMP,2024,70943560,315550
Itajaí,Coreia do Sul,399,EXP,2023,1920435,61475
Itajaí,Coreia do Sul,399,EXP,2024,1677142,85206
Itajaí,Coreia do Sul,399,IMP,2023,54031380,295911
Itajaí,Coreia do Sul,399,IMP,2024,55469182,272588
Itajaí,Dinamarca,267,EXP,2023,480789,1610
Itajaí,Dinamarca,267,EXP,2024,370190,3092
Itajaí,Dinamarca,267,IMP,2023,6013376,18502
Itajaí,Dinamarca,267,IMP,2024,12599978,69545
Itajaí,EUA,249,EXP,2023,62251646,3109933
Itajaí,EUA,249,EXP,2024,64153916,3772202
Itajaí,EUA,249,IMP,2023,330690619,3133646
