Porto Atracação,Atracacoes,T_Espera_Median,T_Operacao_Median,T_Atracado_Median,T_Estadia_Median,Paral_H_Total,Paral_H_Median,Idx_Aproveitamento
Brasil Logística Offshore e Estaleiro Naval,9861,0.5,6.82,9.83,10.5,0.0,0.0,0.86
Rio de Janeiro,5785,10.83,8.75,10.33,31.93,5114.28,0.0,0.88
Belém,5545,0.35,0.67,1.0,1.42,781.28,0.0,0.72
Santos,5078,19.98,28.5,37.09,72.03,0.0,0.0,0.82
Santarém,4101,0.1,7.55,8.67,9.42,10925.45,0.0,0.94
Terminal Graneleiro Hermasa,3192,42.23,2.62,2.85,50.45,0.0,0.0,0.91
Porto Gregório Curvo,2967,35.74,1.33,1.53,37.43,427.02,0.0,0.88
Hidrovias do Brasil Miritituba,2922,0.03,1.52,2.13,2.17,11.27,0.0,0.78
Terminal Vila do Conde,2897,0.08,2.68,4.13,4.23,135.07,0.0,0.72
Rio Grande,2810,3.5,16.15,20.17,34.63,2260.8,0.0,0.9
Paranaguá,2434,54.5,25.88,30.25,91.58,78486.1,6.96,0.88
Porto de Guamaré,2405,0.02,,0.23,0.25,0.0,0.0,
Vila do Conde,2162,81.42,8.68,15.25,15.08,7442.85,0.0,0.77
Terminal de Expedição de Grãos Portochuelo,2015,0.03,1.38,1.42,1.45,0.0,0.0,0.98
Areia Branca,1989,0.17,3.25,3.42,4.25,1709.57,0.0,0.95
Terminal Portuário Graneleiro de Barcarena,1988,47.78,2.22,4.5,52.96,0.0,0.0,0.56
Suape,1938,1.11,16.8,24.33,39.25,3380.05,0.0,0.72
ETC Miritituba,1764,55.8,1.72,2.23,58.85,0.0,0.0,0.83
TUP J F de Oliveira de Belém,1555,0.02,1.83,3.98,4.0,0.0,0.0,0.46
Terminal Portuário Novo Remanso,1355,69.58,2.68,2.87,77.14,81.88,0.0,0.95
Porto Engenheiro Zephyrino Lavanère Machado Filho,1336,7.0,6.62,8.67,22.42,0.0,0.0,0.82
Porto Velho,1258,0.33,2.76,3.18,3.55,0.0,0.0,0.92
J. F. de Oliveira - Manaus,1247,0.02,1.83,3.98,4.0,0.0,0.0,0.46
Terminal Aquaviário da Ilha D'Água,1214,0.33,6.33,10.75,11.08,0.0,0.0,0.6
Vitória,1096,3.0,24.78,34.5,46.74,0.0,0.0,0.83
Cargill Agrícola S.A. (ETC Miritituba/PA),1093,0.03,2.47,85.8,85.83,0.0,0.0,0.03
Porto Alegre,1081,0.17,24.97,13.45,13.28,27.25,0.0,0.66
Terminais Fluviais do Brasil,1030,15.18,4.13,8.65,25.23,0.0,0.0,0.51
