Porto_Canon,mes_num,taxa_media_mensal,mes_label
Itaguaí,1,54.590053763440864,Jan
Itaguaí,2,58.31349206349206,Fev
Itaguaí,3,61.09841696535244,Mar
Itaguaí,4,62.498070987654316,Abr
Itaguaí,5,59.62813620071685,Mai
Itaguaí,6,58.060570987654316,Jun
Itaguaí,7,53.331839904420555,Jul
Itaguaí,8,53.25007467144564,Ago
Itaguaí,9,54.84683641975308,Set
Itaguaí,10,68.38672341696535,Out
Itaguaí,11,67.08371913580247,Nov
Itaguaí,12,77.18115292712068,Dez
Itajaí,1,42.67896256471525,Jan
Itajaí,2,45.38084215167549,Fev
Itajaí,3,37.333980485862206,Mar
Itajaí,4,36.51594650205761,Abr
Itajaí,5,43.10284747112704,Mai
Itajaí,6,51.51363168724279,Jun
Itajaí,7,48.49188570290721,Jul
Itajaí,8,49.04320987654321,Ago
Itajaí,9,48.84207818930041,Set
Itajaí,10,45.820390282755874,Out
Itajaí,11,45.37680041152264,Nov
Itajaí,12,47.38201911589009,Dez
Paranaguá,1,75.43938812083974,Jan
Paranaguá,2,80.75042517006803,Fev
Paranaguá,3,70.83973374295955,Mar
Paranaguá,4,64.43584656084656,Abr
Paranaguá,5,69.56701228878649,Mai
Paranaguá,6,80.35168650793652,Jun
Paranaguá,7,82.85842293906809,Jul
Paranaguá,8,84.35099846390169,Ago
Paranaguá,9,83.04778439153439,Set
Paranaguá,10,84.20682923707118,Out
Paranaguá,11,81.98296957671957,Nov
Paranaguá,12,66.6837877624168,Dez
Pecém,1,50.95318100358423,Jan
Pecém,2,66.40842013888889,Fev
Pecém,3,66.50957661290323,Mar
Pecém,4,60.64496527777778,Abr
Pecém,5,59.05325940860215,Mai
Pecém,6,66.43200231481481,Jun
Pecém,7,62.05953181003584,Jul
Pecém,8,51.91812275985664,Ago
Pecém,9,67.14872685185186,Set
Pecém,10,64.31227598566309,Out
Pecém,11,58.76880787037037,Nov
Pecém,12,59.93923611111111,Dez
Rio Grande,1,39.22585361252594,Jan
Rio Grande,2,47.00449039264829,Fev
Rio Grande,3,40.16482739105829,Mar
Rio Grande,4,40.25036549707602,Abr
Rio Grande,5,42.89285040558386,Mai
Rio Grande,6,46.914839181286546,Jun
Rio Grande,7,45.16636012073194,Jul
Rio Grande,8,56.41588851160159,Ago
Rio Grande,9,55.33979044834308,Set
Rio Grande,10,47.395538577626866,Out
Rio Grande,11,43.26047758284601,Nov
Rio Grande,12,43.20199019053009,Dez
Rio de Janeiro,1,37.64598267622461,Jan
Rio de Janeiro,2,36.008287863756614,Fev
Rio de Janeiro,3,35.03341547192353,Mar
Rio de Janeiro,4,35.19550540123457,Abr
Rio de Janeiro,5,36.11288455794504,Mai
Rio de Janeiro,6,38.70949074074074,Jun
Rio de Janeiro,7,39.17497386499402,Jul
Rio de Janeiro,8,31.514896953405017,Ago
Rio de Janeiro,9,42.709587191358025,Set
Rio de Janeiro,10,32.73325492831541,Out
Rio de Janeiro,11,34.43016975308642,Nov
Rio de Janeiro,12,40.916498655913976,Dez
Salvador,1,23.00459229390681,Jan
Salvador,2,23.475632440476193,Fev
Salvador,3,25.340501792114694,Mar
Salvador,4,33.14351851851852,Abr
Salvador,5,23.45038082437276,Mai
Salvador,6,20.458912037037035,Jun
Salvador,7,30.729166666666664,Jul
Salvador,8,20.380544354838708,Ago
Salvador,9,19.452256944444446,Set
Salvador,10,33.64107302867384,Out
Salvador,11,28.464988425925927,Nov
Salvador,12,10.8408938172043,Dez
Santos,1,52.505620723362654,Jan
Santos,2,59.910128066378064,Fev
Santos,3,58.95169436298469,Mar
Santos,4,60.01064814814814,Abr
Santos,5,59.2392880417074,Mai
Santos,6,61.22882996632996,Jun
Santos,7,65.81060606060606,Jul
Santos,8,62.52508960573477,Ago
Santos,9,66.30681818181819,Set
Santos,10,67.22303681981101,Out
Santos,11,61.01275252525253,Nov
Santos,12,52.19558488106875,Dez
Suape,1,61.510467579015966,Jan
Suape,2,62.87856240981241,Fev
Suape,3,60.67489410231346,Mar
Suape,4,58.441287878787875,Abr
Suape,5,69.38905180840665,Mai
Suape,6,63.29482323232324,Jun
Suape,7,70.4325513196481,Jul
Suape,8,61.14858260019551,Ago
Suape,9,69.70580808080808,Set
Suape,10,71.73998044965786,Out
Suape,11,73.82765151515152,Nov
Suape,12,65.47205930270447,Dez
São Francisco do Sul,1,68.14388120839735,Jan
São Francisco do Sul,2,68.63095238095238,Fev
São Francisco do Sul,3,70.24929595494112,Mar
São Francisco do Sul,4,73.30291005291005,Abr
São Francisco do Sul,5,69.31995647721453,Mai
São Francisco do Sul,6,72.63690476190476,Jun
São Francisco do Sul,7,72.27982590885817,Jul
São Francisco do Sul,8,68.10099846390169,Ago
São Francisco do Sul,9,67.78108465608466,Set
São Francisco do Sul,10,68.89624935995904,Out
São Francisco do Sul,11,72.86871693121692,Nov
São Francisco do Sul,12,54.73726318484383,Dez
