Países;Via;Código SH2;Descrição SH2;2025 - Valor US$ FOB;2025 - Quilograma Líquido
China;MARITIMA;02;Carnes e miudezas, comestíveis;9813811184;2056491073
China;MARITIMA;03;Peixes e crustáceos, moluscos e outros invertebrados aquáticos;49333006;5821282
China;MARITIMA;04;"Leite e lacticínios; ovos de aves; mel natural; produtos comestíveis de origem animal, não especificados nem compreendidos noutros Capítulos";4911811;6892181
China;MARITIMA;05;Outros produtos de origem animal, não especificados nem compreendidos noutros Capítulos;956284;896052
China;MARITIMA;06;Plantas vivas e produtos de floricultura;894964;94449
China;MARITIMA;07;Produtos hortícolas, plantas, raízes e tubérculos, comestíveis.;346336;155050
China;MARITIMA;08;"Frutas; cascas de frutos cítricos e de melões";1294252;236208
China;MARITIMA;09;Café, chá, mate e especiarias;459465696;67595434
China;MARITIMA;10;Cereais;359279824;1810277318
China;MARITIMA;11;"Produtos da indústria de moagem; malte; amidos e féculas; inulina; glúten de trigo";217401;79492
China;MARITIMA;12;"Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens";34729044583;85607394795
China;MARITIMA;13;Gomas, resinas e outros sucos e extratos vegetais;28539839;4807793
China;MARITIMA;14;Matérias para entrançar e outros produtos de origem vegetal, não especificados nem compreendidos noutros Capítulos;7719342;21659077
China;MARITIMA;15;"Gorduras e óleos animais ou vegetais; produtos da sua dissociação; gorduras alimentares elaboradas; ceras de origem animal ou vegetal";710078855;861628730
China;MARITIMA;16;Preparações de carne, de peixes ou de crustáceos, de moluscos ou de outros invertebrados aquáticos;753663;41139
China;MARITIMA;17;Açúcares e produtos de confeitaria;1900015643;4744263569
China;MARITIMA;18;Cacau e suas preparações;1893735;272273
China;MARITIMA;19;"Preparações à base de cereais, farinhas, amidos, féculas ou leite; produtos de pastelaria";558503;246679
China;MARITIMA;20;Preparações de produtos hortícolas, de frutas ou de outras partes de plantas;99306355;24003301
China;MARITIMA;21;Preparações alimentícias diversas;8608665;1612687
China;MARITIMA;22;Bebidas, líquidos alcoólicos e vinagres;747440;568844
China;MARITIMA;23;"Resíduos e desperdícios das indústrias alimentares; alimentos preparados para animais";51912174;56130343
China;MARITIMA;24;Tabaco e seus sucedâneos manufaturados;576550429;64831036
China;MARITIMA;25;"Sal; enxofre; terras e pedras; gesso, cal e cimento";336622363;1163998336
China;MARITIMA;26;Minerios, escórias e cinzas;20998160154;2,97005E+11
China;MARITIMA;27;"Combustíveis minerais, óleos minerais e produtos da sua destilação; matérias betuminosas; ceras minerais";20548266359;45478608601
China;MARITIMA;28;"Produtos químicos inorgânicos; compostos inorgânicos ou orgânicos de metais preciosos, de elementos radioativos, de metais das terras raras ou de isótopos";159974970;181144045
