Países;Via;URF;2025 - Valor US$ FOB;2025 - Quilograma Líquido
China;MARITIMA;0210200 - SANTAREM;163309224;1595514974
China;MARITIMA;0217800 - ALF - BELÉM;2880576669;6697010821
China;MARITIMA;0227600 - PORTO DE MANAUS;912721829;2166043553
China;MARITIMA;0240152 - SANTANA;27946221;218299279
China;MARITIMA;0317900 - ALF - FORTALEZA;62229863;710503236
China;MARITIMA;0317903 - IRF SAO LUIS;14229080369;1,35662E+11
China;MARITIMA;0417900 - ALF - RECIFE;16623;3103
China;MARITIMA;0417902 - IRF - PORTO DE SUAPE;78842771;258093452
China;MARITIMA;0440151 - MACEIO;82549836;45732372
China;MARITIMA;0510353 - IRF ILHEUS;109156993;76950045
China;MARITIMA;0517800 - ALF - SALVADOR;1771585655;4550557634
China;MARITIMA;0520100 - ARACAJU;184883301;82479007
China;MARITIMA;0710200 - NITEROI;1337287522;3064640184
China;MARITIMA;0710251 - IRF CAMPOS DOS GOYTACAZES;7339863563;23863103312
China;MARITIMA;0717600 - PORTO DO RIO DE JANEIRO;161173837;183190675
China;MARITIMA;0717800 - PORTO DE ITAGUAI;14213628625;1,26162E+11
China;MARITIMA;0727600 - PORTO DE VITORIA;6861990529;58947067245
China;MARITIMA;0812051 - SAO SEBASTIAO;405461087;962671638
China;MARITIMA;0817800 - PORTO DE SANTOS;30936007444;54476329559
China;MARITIMA;0917500 - ALF - FOZ DO IGUAÇU;17966;48671
China;MARITIMA;0917800 - PORTO DE PARANAGUA;9020696104;15172731517
China;MARITIMA;0927502 - IRF - IMBITUBA;127447323;356827672
China;MARITIMA;0927700 - PORTO DE SAO FRANCISCO DO SUL;3174854999;6056369864
China;MARITIMA;0927800 - ITAJAI;776084017;831573664
China;MARITIMA;1017700 - PORTO DE RIO GRANDE;4781739725;9469714530
