Países;Via;Código SH2;Descrição SH2;2025 - Valor US$ FOB;2025 - US$ Frete;2025 - US$ Seguro;2025 - Valor US$ CIF;2025 - Quilograma Líquido
China;MARITIMA;03;Peixes e crustáceos, moluscos e outros invertebrados aquáticos;96194619;4343049;44259;100581927;24980991
China;MARITIMA;05;Outros produtos de origem animal, não especificados nem compreendidos noutros Capítulos;72333067;1320175;83209;73736451;8218056
China;MARITIMA;06;Plantas vivas e produtos de floricultura;61177;4829;138;66144;6255
China;MARITIMA;07;Produtos hortícolas, plantas, raízes e tubérculos, comestíveis.;159785119;16163351;222870;176171340;113573265
China;MARITIMA;08;"Frutas; cascas de frutos cítricos e de melões";18084131;1564362;13327;19661820;9259567
China;MARITIMA;09;Café, chá, mate e especiarias;10349175;554438;13313;10916926;3945317
China;MARITIMA;10;Cereais;54518;6311;65;60894;80600
China;MARITIMA;11;"Produtos da indústria de moagem; malte; amidos e féculas; inulina; glúten de trigo";4052865;278540;2331;4333736;2935124
China;MARITIMA;12;"Sementes e frutos oleaginosos; grãos, sementes e frutos diversos; plantas industriais ou medicinais; palhas e forragens";31918170;1047982;20961;32987113;4411084
China;MARITIMA;13;Gomas, resinas e outros sucos e extratos vegetais;18600011;345550;24462;18970023;1703855
China;MARITIMA;14;Matérias para entrançar e outros produtos de origem vegetal, não especificados nem compreendidos noutros Capítulos;1243326;135792;1281;1380399;1105034
China;MARITIMA;15;"Gorduras e óleos animais ou vegetais; produtos da sua dissociação; gorduras alimentares elaboradas; ceras de origem animal ou vegetal";5054471;178640;7079;5240190;987573
China;MARITIMA;16;Preparações de carne, de peixes ou de crustáceos, de moluscos ou de outros invertebrados aquáticos;14019004;789593;5887;14814484;4851367
China;MARITIMA;17;Açúcares e produtos de confeitaria;25810103;3813818;19268;29643189;20031503
China;MARITIMA;18;Cacau e suas preparações;1139996;34956;1715;1176667;230039
China;MARITIMA;19;"Preparações à base de cereais, farinhas, amidos, féculas ou leite; produtos de pastelaria";10734893;1467059;7193;12209145;5761302
China;MARITIMA;20;Preparações de produtos hortícolas, de frutas ou de outras partes de plantas;24810562;3066972;20238;27897772;18931077
China;MARITIMA;21;Preparações alimentícias diversas;51987719;3124512;51156;55163387;15243495
China;MARITIMA;22;Bebidas, líquidos alcoólicos e vinagres;579991;154069;35;734095;794802
China;MARITIMA;23;"Resíduos e desperdícios das indústrias alimentares; alimentos preparados para animais";115957546;9148330;94122;125199998;86830131
China;MARITIMA;24;Tabaco e seus sucedâneos manufaturados;439107;24472;1618;465197;161394
China;MARITIMA;25;"Sal; enxofre; terras e pedras; gesso, cal e cimento";32807811;8972486;33843;41814140;66185988
China;MARITIMA;26;Minerios, escórias e cinzas;3013503;706173;5022;3724698;6794635
China;MARITIMA;27;"Combustíveis minerais, óleos minerais e produtos da sua destilação; matérias betuminosas; ceras minerais";115401253;9922603;53370;125377226;272139769
China;MARITIMA;28;"Produtos químicos inorgânicos; compostos inorgânicos ou orgânicos de metais preciosos, de elementos radioativos, de metais das terras raras ou de isótopos";486950883;69322251;600508;556873642;827548130
China;MARITIMA;29;Produtos químicos orgânicos;5476220678;198092108;2897592;5677210378;1356239319
China;MARITIMA;30;Produtos farmacêuticos;303106687;5634049;153255;308893991;7210198
China;MARITIMA;31;Adubos (fertilizantes);2907987715;243230340;1753933;3152971988;11985527296
China;MARITIMA;32;"Extratos tanantes e tintoriais; taninos e seus derivados; pigmentos e outras matérias corantes; tintas e vernizes; mástiques; tintas de escrever";372414724;23637605;301234;396353563;135449689
China;MARITIMA;33;"Óleos essenciais e resinóides; produtos de perfumaria ou de toucador preparados e preparações cosméticas";66504337;4557131;40772;71102240;16507891
China;MARITIMA;34;"Sabões, agentes orgânicos de superfície, preparações para lavagem, preparações lubrificantes, ceras artificiais, ceras preparadas, produtos de conservação e limpeza, velas e artigos semelhantes, massas ou pastas para modelar, ""ceras"" para dentistas e Comp";94287422;7426256;93436;101807114;48513468
China;MARITIMA;35;"Matérias albuminóides; produtos à base de amidos ou de féculas modificados; colas; enzimas";175870471;14072893;233978;190177342;68480531
China;MARITIMA;36;"Pólvoras e explosivos; artigos de pirotecnia; fósforos; ligas pirofóricas; matérias inflamáveis";3302864;513560;3860;3820284;1817895
China;MARITIMA;37;Produtos para fotografia e cinematografia;10573243;461558;14523;11049324;1999826
China;MARITIMA;38;Produtos diversos das indústrias químicas;2929398303;135177933;1911943;3066488179;825024503
China;MARITIMA;39;Plásticos e suas obras;2304984719;210507806;2154845;2517647370;1199177871
China;MARITIMA;40;Borracha e suas obras;1273928087;126590937;902639;1401421663;479772904
China;MARITIMA;41;Peles, exceto as peles com pelo, e couros;920755;29727;704;951186;153065
China;MARITIMA;42;"Obras de couro; artigos de correeiro ou de seleiro; artigos de viagem, bolsas e artefatos semelhantes; obras de tripa";451487648;44215392;310731;496013771;118958927
China;MARITIMA;43;"Peles com pelo e suas obras; peles com pelo artificiais";2077646;35315;84;2113045;97546
China;MARITIMA;44;Madeira, carvão vegetal e obras de madeira;69836778;8618855;57713;78513346;39451730
China;MARITIMA;45;Cortiça e suas obras;447786;34966;319;483071;106420
China;MARITIMA;46;Obras de espartaria ou de cestaria;11390740;1407708;7405;12805853;3460931
China;MARITIMA;47;"Pastas de madeira ou de outras matérias fibrosas celulósicas; papel ou cartão para reciclar (desperdícios e aparas).";9470193;780819;3790;10254802;5994517
China;MARITIMA;48;"Papel e cartão; obras de pasta de celulose, de papel ou de cartão";400862311;49232071;406281;450500663;301212464
China;MARITIMA;49;"Livros, jornais, gravuras e outros produtos das indústrias gráficas; textos manuscritos ou datilografados, planos e plantas";90898070;6202156;76179;97176405;29311101
China;MARITIMA;50;Seda;3764601;26513;4085;3795199;47144
China;MARITIMA;51;"Lã, pelos finos ou grosseiros; fios e tecidos de crina";341737;3443;780;345960;12227
China;MARITIMA;52;Algodão;45088427;1550596;22584;46661607;8412788
China;MARITIMA;53;"Outras fibras têxteis vegetais; fios de papel e tecidos de fios de papel";21501440;379174;10466;21891080;1813145
China;MARITIMA;54;Filamentos sintéticos ou artificiais;1163696510;91435171;682244;1255813925;674015091
China;MARITIMA;55;Fibras sintéticas ou artificiais, descontínuas;570869721;42475280;414004;613759005;302684638
China;MARITIMA;56;"Pastas (ouates), feltros e falsos tecidos; fios especiais; cordéis, cordas e cabos; artigos de cordoaria";152130502;19983148;165117;172278767;67050173
China;MARITIMA;57;Tapetes e outros revestimentos para pisos (pavimentos), de matérias têxteis;50335120;6634992;32814;57002926;25905508
China;MARITIMA;58;"Tecidos especiais; tecidos tufados; rendas; tapeçarias; passamanarias; bordados.";74297413;5090440;51283;79439136;20585657
China;MARITIMA;59;"Tecidos impregnados, revestidos, recobertos ou estratificados; artigos para usos técnicos de matérias têxteis";165127479;11546148;203444;176877071;57767041
China;MARITIMA;60;Tecidos de malha;388828818;36014796;228003;425071617;190944987
China;MARITIMA;61;Vestuário e seus acessórios, de malha;627366414;23913621;319556;651599591;77796797
China;MARITIMA;62;Vestuário e seus acessórios, exceto de Malha;517948461;15465208;328331;533742000;47037901
China;MARITIMA;63;"Outros artefatos têxteis confeccionados; sortidos; artefatos de matérias têxteis, calçados, chapéus e artefatos de uso semelhante, usados; trapos";182981369;16551274;143292;199675935;60131180
China;MARITIMA;64;"Calçados, polainas e artefatos semelhantes; suas partes";73844769;3597168;69163;77511100;6446413
China;MARITIMA;65;Chapéus e artefatos de uso semelhante, e suas partes;80402809;5715479;36716;86155004;9130477
China;MARITIMA;66;Guarda-chuvas, sombrinhas, guarda-sóis, bengalas, bengalas-assentos, chicotes, pingalins, e suas partes;41298499;4821988;13688;46134175;22812011
China;MARITIMA;67;"Penas e penugem preparadas e suas obras; flores artificiais; obras de cabelo";47957771;7961800;23471;55943042;17518543
China;MARITIMA;68;Obras de pedra, gesso, cimento, amianto, mica ou de matérias semelhantes;246306003;24480181;301467;271087651;163288295
China;MARITIMA;69;Produtos cerâmicos;126681655;18326871;135749;145144275;86148829
China;MARITIMA;70;Vidro e suas obras;360648960;73103721;416596;434169277;392338113
China;MARITIMA;71;"Pérolas naturais ou cultivadas, pedras preciosas ou semipreciosas e semelhantes, metais preciosos, metais folheados ou chapeados de metais preciosos (plaquê), e suas obras; bijuterias; moedas";24834038;1750743;14570;26599351;8120293
China;MARITIMA;72;Ferro fundido, ferro e aço;2558131903;225848381;2282485;2786262769;3672810757
China;MARITIMA;73;Obras de ferro fundido, ferro ou aço;1558264332;171300053;1554830;1731119215;894118431
China;MARITIMA;74;Cobre e suas obras;149930969;3563830;92680;153587479;15079145
China;MARITIMA;75;Níquel e suas obras;9910569;100678;8944;10020191;312913
China;MARITIMA;76;Alumínio e suas obras;633541730;37804209;559559;671905498;201145058
China;MARITIMA;78;Chumbo e suas obras;424455;38422;255;463132;272506
China;MARITIMA;79;Zinco e suas obras;5539205;154130;6669;5700004;909015
China;MARITIMA;80;Estanho e suas obras;1444649;11045;477;1456171;62035
China;MARITIMA;81;"Outros metais comuns; ceramais (cermets); obras dessas matérias";126018446;7753794;63382;133835622;50287102
China;MARITIMA;82;Ferramentas, artefatos de cutelaria e talheres, e suas partes, de metais comuns;418381567;26214548;319197;444915312;118163840
China;MARITIMA;83;Obras diversas de metais comuns;325024680;25278868;294155;350597703;148353321
China;MARITIMA;84;Reatores nucleares, caldeiras, máquinas, aparelhos e instrumentos mecânicos, e suas partes;11124141184;737686667;11112965;11872940816;2051857180
China;MARITIMA;85;"Máquinas, aparelhos e materiais elétricos, e suas partes; aparelhos de gravação ou de reprodução de som, aparelhos de gravação ou de reprodução de imagens e de som em televisão, e suas partes e acessórios";10877284546;570973461;7379735;11455637742;2003047455
China;MARITIMA;86;"Veículos e material para vias férreas ou semelhantes, e suas partes; aparelhos mecânicos (incluindo os eletromecânicos) de sinalização para vias de comunicação";268296438;14375345;251937;282923720;41591228
China;MARITIMA;87;Veículos automóveis, tratores, ciclos e outros veículos terrestres, suas partes e acessórios;6306936236;494009128;6607293;6807552657;1040711124
China;MARITIMA;88;Aeronaves e aparelhos espaciais, e suas partes;41021644;704006;27139;41752789;502769
China;MARITIMA;89;Embarcações e estruturas flutuantes;4227374;548744;4782;4780900;637904
China;MARITIMA;90;"Instrumentos e aparelhos de óptica, de fotografia, de cinematografia, de medida, de controle ou de precisão; instrumentos e aparelhos médico-cirúrgicos; suas partes e acessórios";1287401824;35124269;1272369;1323798462;70127844
China;MARITIMA;91;Artigos de relojoaria;35149830;1212173;20527;36382530;3511985
China;MARITIMA;92;"Instrumentos musicais; suas partes e acessórios";73358004;3983339;112162;77453505;6502023
China;MARITIMA;93;"Armas e munições; suas partes e acessórios";9563434;293688;3679;9860801;962678
China;MARITIMA;94;"Móveis; mobiliário médico-cirúrgico, colchões, almofadas e semelhantes; aparelhos de iluminação não especificados nem compreendidos em outros capítulos; anúncios, cartazes ou tabuletas e placas indicadoras luminosos, e artigos semelhantes; Construções Pré";794685864;98055830;774257;893515951;263532392
China;MARITIMA;95;"Brinquedos, jogos, artigos para divertimento ou para esporte; suas partes e acessórios";849286014;95947830;1316000;946549844;231514369
China;MARITIMA;96;Obras diversas;486297516;49973245;303800;536574561;160734424
China;MARITIMA;97;Objetos de arte, de coleção e antiguidades;325346;55770;374;381490;79550
