Países;Via;URF;2025 - Valor US$ FOB;2025 - US$ Frete;2025 - US$ Seguro;2025 - Valor US$ CIF;2025 - Quilograma Líquido
China;MARITIMA;0120200 - ANAPOLIS;45190;2701;73;47964;3059
China;MARITIMA;0210200 - SANTAREM;198473078;26356110;130277;224959465;1025611949
China;MARITIMA;0217800 - ALF - BELÉM;248394559;29569322;183843;278147724;562668417
China;MARITIMA;0217802 - IRF - BARCARENA;493855;69231;0;563086;274676
China;MARITIMA;0227600 - PORTO DE MANAUS;2825352977;201527101;1172020;3028052098;805763533
China;MARITIMA;0240152 - SANTANA;412270;49599;242;462111;89674
China;MARITIMA;0317900 - ALF - FORTALEZA;1633520351;126906653;773959;1761200963;865565224
China;MARITIMA;0317902 - IRF - PORTO DE PECÉM;292872929;33445163;190761;326508853;100089890
China;MARITIMA;0317903 - IRF SAO LUIS;286468809;24619256;181336;311269401;1082880731
China;MARITIMA;0417900 - ALF - RECIFE;78816083;11312561;91494;90220138;219692871
China;MARITIMA;0417902 - IRF - PORTO DE SUAPE;950106195;100753573;732493;1051592261;443310008
China;MARITIMA;0440151 - MACEIO;8726735;2025574;3740;10756049;56888456
China;MARITIMA;0510100 - SALVADOR;26470;3200;0;29670;21816
China;MARITIMA;0517800 - ALF - SALVADOR;1477383375;142138608;1035185;1620557168;1281586340
China;MARITIMA;0520100 - ARACAJU;3130078;834623;1527;3966228;20690000
China;MARITIMA;0610400 - JUIZ DE FORA;4150683;300425;2124;4453232;1670260
China;MARITIMA;0610600 - VARGINHA;10513396;701767;16115;11231278;3042474
China;MARITIMA;0617700 - ALF - BELO HORIZONTE;10391905;703138;18089;11113132;3049318
China;MARITIMA;0710200 - NITEROI;863522;174324;928;1038774;220214
China;MARITIMA;0710251 - IRF CAMPOS DOS GOYTACAZES;26890414;6612764;12324;33515502;4911800
China;MARITIMA;0710300 - NOVA IGUACU;6219455;599183;0;6818638;2816252
China;MARITIMA;0710500 - VOLTA REDONDA;1144570;36131;64;1180765;145030
China;MARITIMA;0717600 - PORTO DO RIO DE JANEIRO;3307873149;277502525;2122956;3587498630;1098251994
China;MARITIMA;0717800 - PORTO DE ITAGUAI;135544347;13760328;65264;149369939;204586884
China;MARITIMA;0727600 - PORTO DE VITORIA;3781040609;313234574;5062903;4099338086;1067458940
China;MARITIMA;0811000 - SOROCABA;1341;0;0;1341;9
China;MARITIMA;0817700 - AEROPORTO INTERNACIONAL DE VIRACOPOS;4224763;89161;2096;4316020;233339
China;MARITIMA;0817800 - PORTO DE SANTOS;24528721162;1349585873;18515750;25896822785;7819113000
China;MARITIMA;0817900 - SAO PAULO;18941165;1351015;16466;20308646;4040812
China;MARITIMA;0917800 - PORTO DE PARANAGUA;5824248883;379420327;4894862;6208564072;5428227531
China;MARITIMA;0917900 - ALF - CURITIBA;452437;8534;494;461465;468871
China;MARITIMA;0927502 - IRF - IMBITUBA;129024360;10385024;282572;139691956;305482844
China;MARITIMA;0927700 - PORTO DE SAO FRANCISCO DO SUL;6057554189;446155490;5240942;6508950621;4000959441
China;MARITIMA;0927800 - ITAJAI;7858816935;632920505;8412166;8500149606;3176599710
China;MARITIMA;1010600 - CAXIAS DO SUL;349859;19220;528;369607;64588
China;MARITIMA;1010700 - NOVO HAMBURGO;1901825;159858;4628;2066311;580591
China;MARITIMA;1017700 - PORTO DE RIO GRANDE;1451102158;95279877;1468374;1547850409;1750198459
China;MARITIMA;1017800 - ALF - PORTO ALEGRE;4000391;175388;2966;4178745;753739
