port_display;fob_usd;kg;share_pct
Santos;30936007444;54476329559;31.048043659087305
São Luís;14229080369;0;14.280611656985418
Itaguaí;14213628625;0;14.265103953763228
Paranaguá;9020696104;15172731517;9.053364981869077
Campos dos Goytacazes;7339863563;23863103312;7.366445226271975
Vitória;6861990529;58947067245;6.886841552462732
Rio Grande;4781739725;9469714530;4.799057021722641
São Francisco do Sul;3174854999;6056369864;3.1863528866373376
Belém;2880576669;6697010821;2.891008813737738
Salvador;1771585655;4550557634;1.7780015362945867
