country;via;urf;fob_usd;freight_usd;insurance_usd;cif_usd;kg;fob_share_pct
China;MARITIMA;0817800 - PORTO DE SANTOS;24528721162;1349585873;18515750;25896822785;7819113000;40.16
China;MARITIMA;0927800 - ITAJAI;7858816935;632920505;8412166;8500149606;3176599710;12.87
China;MARITIMA;0927700 - PORTO DE SAO FRANCISCO DO SUL;6057554189;446155490;5240942;6508950621;4000959441;9.92
China;MARITIMA;0917800 - PORTO DE PARANAGUA;5824248883;379420327;4894862;6208564072;5428227531;9.53
China;MARITIMA;0727600 - PORTO DE VITORIA;3781040609;313234574;5062903;4099338086;1067458940;6.19
China;MARITIMA;0717600 - PORTO DO RIO DE JANEIRO;3307873149;277502525;2122956;3587498630;1098251994;5.42
China;MARITIMA;0227600 - PORTO DE MANAUS;2825352977;201527101;1172020;3028052098;805763533;4.63
China;MARITIMA;0317900 - ALF - FORTALEZA;1633520351;126906653;773959;1761200963;865565224;2.67
China;MARITIMA;0517800 - ALF - SALVADOR;1477383375;142138608;1035185;1620557168;1281586340;2.42
China;MARITIMA;1017700 - PORTO DE RIO GRANDE;1451102158;95279877;1468374;1547850409;1750198459;2.38
China;MARITIMA;0417902 - IRF - PORTO DE SUAPE;950106195;100753573;732493;1051592261;443310008;1.56
China;MARITIMA;0317902 - IRF - PORTO DE PECÉM;292872929;33445163;190761;326508853;100089890;0.48
China;MARITIMA;0317903 - IRF SAO LUIS;286468809;24619256;181336;311269401;1082880731;0.47
China;MARITIMA;0217800 - ALF - BELÉM;248394559;29569322;183843;278147724;562668417;0.41
China;MARITIMA;0210200 - SANTAREM;198473078;26356110;130277;224959465;1025611949;0.32
China;MARITIMA;0717800 - PORTO DE ITAGUAI;135544347;13760328;65264;149369939;204586884;0.22
China;MARITIMA;0927502 - IRF - IMBITUBA;129024360;10385024;282572;139691956;305482844;0.21
China;MARITIMA;0417900 - ALF - RECIFE;78816083;11312561;91494;90220138;219692871;0.13
China;MARITIMA;0440151 - MACEIO;8726735;2025574;3740;10756049;56888456;0.01
China;MARITIMA;1017800 - ALF - PORTO ALEGRE;4000391;175388;2966;4178745;753739;0.01
China;MARITIMA;0520100 - ARACAJU;3130078;834623;1527;3966228;20690000;0.01
China;MARITIMA;0710200 - NITEROI;863522;174324;928;1038774;220214;0.0
China;MARITIMA;0217802 - IRF - BARCARENA;493855;69231;0;563086;274676;0.0
China;MARITIMA;0240152 - SANTANA;412270;49599;242;462111;89674;0.0
China;MARITIMA;0510100 - SALVADOR;26470;3200;0;29670;21816;0.0
