port_display;fob_usd;kg;share_pct
Santos;24528721162;7819113000;40.15640067658548
Itajaí;7858816935;3176599710;12.86580737746312
São Francisco do Sul;6057554189;4000959441;9.916928466309773
Paranaguá;5824248883;5428227531;9.534980247899455
Vitória;3781040609;1067458940;6.1900080589878055
Rio de Janeiro;3307873149;1098251994;5.415377291024321
Manaus;2825352977;805763533;4.6254350338069035
Fortaleza;1633520351;865565224;2.6742648870636843
Salvador;1477383375;1281586340;2.4186502984645952
Rio Grande;1451102158;1750198459;2.375624856039359
Others (15 ports);2337353681;4023262169;3.8265228063555066
