urf;fob_usd;kg;share_pct;share_pct_squared
0817800 - PORTO DE SANTOS;24528721162;7819113000;40.15640067658548;1612.5365152984746
0927800 - ITAJAI;7858816935;3176599710;12.86580737746312;165.52899947398447
0927700 - PORTO DE SAO FRANCISCO DO SUL;6057554189;4000959441;9.916928466309773;98.34547020590512
0917800 - PORTO DE PARANAGUA;5824248883;5428227531;9.534980247899455;90.91584832783275
0727600 - PORTO DE VITORIA;3781040609;1067458940;6.1900080589878055;38.31619977033398
0717600 - PORTO DO RIO DE JANEIRO;3307873149;1098251994;5.415377291024321;29.326311204141916
0227600 - PORTO DE MANAUS;2825352977;805763533;4.6254350338069035;21.39464925196827
0317900 - ALF - FORTALEZA;1633520351;865565224;2.6742648870636843;7.15169268618174
0517800 - ALF - SALVADOR;1477383375;1281586340;2.4186502984645952;5.849869266262876
1017700 - PORTO DE RIO GRANDE;1451102158;1750198459;2.375624856039359;5.643593456632026
0417902 - IRF - PORTO DE SUAPE;950106195;443310008;1.5554355565357643;2.4193797705357225
0317902 - IRF - PORTO DE PECÉM;292872929;100089890;0.47946742133743736;0.22988900812397167
0317903 - IRF SAO LUIS;286468809;1082880731;0.4689831238886433;0.21994517049235057
0217800 - ALF - BELÉM;248394559;562668417;0.406651099794819;0.16536511696433584
0210200 - SANTAREM;198473078;1025611949;0.32492376553370034;0.10557545340859907
0717800 - PORTO DE ITAGUAI;135544347;204586884;0.22190203360501376;0.04924051251804066
0927502 - IRF - IMBITUBA;129024360;305482844;0.21122804825335426;0.04461728836892136
0417900 - ALF - RECIFE;78816083;219692871;0.12903119521820822;0.016649049339439358
0440151 - MACEIO;8726735;56888456;0.01428669130134988;0.0002041095483400663
1017800 - ALF - PORTO ALEGRE;4000391;753739;0.006549110440697276;4.2890847564450065e-05
0520100 - ARACAJU;3130078;20690000;0.005124305726614436;2.6258509179813505e-05
0710200 - NITEROI;863522;220214;0.0014136870485839494;1.998511071333998e-06
0217802 - IRF - BARCARENA;493855;274676;0.0008084987034243786;6.536701534389013e-07
0240152 - SANTANA;412270;89674;0.0006749344655025637;4.555365327232313e-07
0510100 - SALVADOR;26470;21816;4.3334502393705246e-05;1.877879097710046e-09
