carrier;Itajaí;Paranaguá;Portonave - Terminais Portuários de Navegantes;Rio Grande;Rio de Janeiro;Salvador;Santos;Super Terminais Comércio e Indústria;São Francisco do Sul;Terminal Portuário do Pecém;Vitória
MSC;109;164;102;89;242;81;331;23;0;82;0
UNKNOWN;84;154;33;166;172;46;366;15;0;40;0
MAERSK;14;159;1;50;55;38;294;0;0;37;1
CMA CGM;8;44;25;4;50;21;117;0;1;0;1
HAPAG-LLOYD;7;39;30;33;40;6;65;0;0;7;0
COSCO;0;34;29;0;51;0;68;10;1;0;0
EVERGREEN;2;20;29;0;21;0;31;0;0;0;0
MERCOSUL;10;0;0;5;10;6;46;0;0;3;0
HMM;0;31;36;12;0;0;0;0;0;0;0
LOG-IN;2;0;7;35;1;6;1;0;0;14;0
PIL;3;13;15;0;14;0;21;0;0;0;0
HAMBURG SUD;0;17;0;5;2;3;19;0;0;5;0
ONE;0;13;14;5;0;0;16;0;0;0;0
WAN HAI;0;12;7;3;0;0;12;0;0;0;0
ZIM;0;6;0;0;5;0;14;0;0;0;0
APL;0;3;1;0;4;2;7;0;0;1;0
Hapag-Lloyd;3;2;0;1;2;1;4;0;0;0;0
YANG MING;0;0;2;0;3;0;2;0;0;0;0
ALIANCA;0;0;0;0;0;0;0;0;0;1;0
