carrier;n_calls;n_unique_vessels;total_teu;avg_teu;share_calls_pct;share_teu_pct
MSC;1223;123;1135425.0;10229.054054054053;28.91;39.46
UNKNOWN;1076;129;0.0;;25.44;0.0
MAERSK;649;54;447948.0;4479.48;15.34;15.57
CMA CGM;271;31;83896.0;5593.066666666667;6.41;2.92
HAPAG-LLOYD;227;15;182300.0;6751.851851851852;5.37;6.34
COSCO;193;11;158763.0;4961.34375;4.56;5.52
EVERGREEN;103;12;781992.0;11333.217391304348;2.43;27.18
MERCOSUL;80;5;0.0;;1.89;0.0
HMM;79;23;0.0;;1.87;0.0
LOG-IN;66;8;0.0;;1.56;0.0
PIL;66;6;0.0;;1.56;0.0
HAMBURG SUD;51;4;0.0;;1.21;0.0
ONE;48;3;0.0;;1.13;0.0
WAN HAI;34;2;0.0;;0.8;0.0
ZIM;25;4;0.0;;0.59;0.0
APL;18;2;0.0;;0.43;0.0
Hapag-Lloyd;13;1;87100.0;6700.0;0.31;3.03
YANG MING;7;2;0.0;;0.17;0.0
ALIANCA;1;1;0.0;;0.02;0.0
