Porto Atracação;Terminal;calls;unique_imos
Santos;Cais da Santos Brasil (SSZ 16) - Privativo;728;212
Paranaguá;TCP;716;276
Santos;Cais da BTP (SSZ 41) - Privativo;675;196
Rio Grande;Cais Tecon Rio Grande S.A.;408;143
Terminal Portuário do Pecém;Terminal Portuário do Pecém;385;269
Rio de Janeiro;Multi-Rio;367;125
Portonave - Terminais Portuários de Navegantes;Portonave - Terminais Portuários de Navegantes;334;149
Rio de Janeiro;ICTSI;333;120
Itajaí;Cais Arrendado Transitoriamente;250;137
Santos;Cais do TEV (SSZ 18) - Privativo;206;84
Vitória;Cais de Capuaba;200;167
Santos;Cais da Ecoporto (SSZ 35) - Privativo;172;100
Salvador;TECON Área 2;142;84
São Francisco do Sul;TESC;140;94
Salvador;TECON;114;89
Super Terminais Comércio e Indústria;Super Terminais Comércio e Indústria;59;21
