parent_group;n_calls;n_unique_vessels;total_teu;avg_teu;share_calls_pct;share_teu_pct
MSC;1223;123;1135425.0;10229.054054054053;28.91;39.46
UNKNOWN;1089;130;87100.0;6700.0;25.74;3.03
Maersk Group;701;59;447948.0;4479.48;16.57;15.57
CMA CGM Group;369;38;83896.0;5593.066666666667;8.72;2.92
Hapag-Lloyd;227;15;182300.0;6751.851851851852;5.37;6.34
Cosco Shipping;193;11;158763.0;4961.34375;4.56;5.52
Evergreen;103;12;781992.0;11333.217391304348;2.43;27.18
HMM;79;23;0.0;;1.87;0.0
Log-In;66;8;0.0;;1.56;0.0
PIL;66;6;0.0;;1.56;0.0
ONE;48;3;0.0;;1.13;0.0
Wan Hai;34;2;0.0;;0.8;0.0
ZIM;25;4;0.0;;0.59;0.0
Yang Ming;7;2;0.0;;0.17;0.0
