imo;n_calls_container_terminals;first_seen_port;first_seen_terminal;first_seen_date;n_distinct_ports
9732606;27;Santos;Cais da Santos Brasil (SSZ 16) - Privativo;01/11/2025 08:53;3
9605279;26;Rio de Janeiro;Multi-Rio;01/12/2025 15:55;5
9850812;21;Rio de Janeiro;ICTSI;01/06/2025 23:24;5
9285691;19;Rio de Janeiro;Multi-Rio;02/10/2025 17:00;4
9770763;19;Paranaguá;TCP;01/10/2025 15:46;7
9525388;17;Rio de Janeiro;Multi-Rio;02/11/2025 04:27;3
9243174;16;Itajaí;Cais Arrendado Transitoriamente;01/05/2025 03:13;3
9720196;15;Salvador;TECON;01/07/2025 04:40;8
9850599;15;Itajaí;Cais Arrendado Transitoriamente;03/07/2025 16:18;5
9166780;14;Terminal Portuário do Pecém;Terminal Portuário do Pecém;02/04/2025 06:30;7
9332872;14;Paranaguá;TCP;02/12/2025 10:55;6
9252541;13;Santos;Cais da BTP (SSZ 41) - Privativo;04/12/2025 01:30;6
9143556;13;Rio de Janeiro;ICTSI;03/05/2025 00:00;2
9974503;13;Rio de Janeiro;Multi-Rio;02/08/2025 10:40;6
9525314;12;Santos;Cais da BTP (SSZ 41) - Privativo;01/03/2025 03:25;3
9850874;11;Rio de Janeiro;ICTSI;01/10/2025 14:54;4
9595448;11;Portonave - Terminais Portuários de Navegantes;Portonave - Terminais Portuários de Navegantes;04/05/2025 00:54;4
9337274;10;Super Terminais Comércio e Indústria;Super Terminais Comércio e Indústria;14/01/2025 13:10;1
9720457;10;Santos;Cais da BTP (SSZ 41) - Privativo;03/11/2025 16:11;6
9299537;7;Itajaí;Cais Arrendado Transitoriamente;04/04/2025 11:30;5
9525376;6;Rio de Janeiro;Multi-Rio;07/12/2025 01:47;2
9450612;5;Santos;Cais da Santos Brasil (SSZ 16) - Privativo;12/08/2025 17:05;4
9406623;5;Santos;Cais da Santos Brasil (SSZ 16) - Privativo;12/07/2025 17:35;2
9706190;5;Santos;Cais da BTP (SSZ 41) - Privativo;01/03/2025 14:00;3
9694581;5;Itajaí;Cais Arrendado Transitoriamente;09/03/2025 15:45;2
9480203;4;Rio Grande;Cais Tecon Rio Grande S.A.;05/04/2025 18:15;4
9850898;4;Rio de Janeiro;ICTSI;02/09/2025 11:10;3
9850836;3;Portonave - Terminais Portuários de Navegantes;Portonave - Terminais Portuários de Navegantes;04/03/2025 19:35;3
9337224;3;São Francisco do Sul;TESC;04/01/2025 13:00;2
9226932;3;Salvador;TECON Área 2;02/02/2025 15:28;2
9604122;2;Paranaguá;TCP;03/01/2025 21:05;2
9290567;2;Santos;Cais da Santos Brasil (SSZ 16) - Privativo;27/12/2025 07:40;2
9266267;2;Rio de Janeiro;ICTSI;12/11/2025 19:00;1
9629079;2;Paranaguá;TCP;20/03/2025 00:12;2
9710244;2;Santos;Cais da BTP (SSZ 41) - Privativo;21/12/2025 07:25;2
9857183;2;Terminal Portuário do Pecém;Terminal Portuário do Pecém;23/11/2025 18:26;1
9461403;2;Terminal Portuário do Pecém;Terminal Portuário do Pecém;24/08/2025 16:55;1
9709221;1;São Francisco do Sul;TESC;10/06/2025 20:30;1
9355513;1;Vitória;Cais de Capuaba;05/11/2025 14:55;1
9355525;1;Terminal Portuário do Pecém;Terminal Portuário do Pecém;01/06/2025 09:45;1
9266140;1;Vitória;Cais de Capuaba;26/05/2025 07:30;1
9266243;1;Rio de Janeiro;ICTSI;26/06/2025 18:40;1
9606833;1;Terminal Portuário do Pecém;Terminal Portuário do Pecém;15/05/2025 17:08;1
9464003;1;Terminal Portuário do Pecém;Terminal Portuário do Pecém;12/05/2025 20:12;1
