imo;n_calls_container_terminals;first_seen_port;first_seen_terminal;first_seen_date;n_distinct_ports
9744685;44;Rio Grande;Cais Tecon Rio Grande S.A.;02/04/2025 00:35;1
9723253;38;Rio de Janeiro;Multi-Rio;01/10/2025 07:35;7
9619464;38;Terminal Portuário do Pecém;Terminal Portuário do Pecém;02/10/2025 06:30;5
9720201;36;Rio de Janeiro;Multi-Rio;01/06/2025 18:30;5
9723241;36;Rio de Janeiro;Multi-Rio;01/03/2025 18:03;7
9527051;34;Santos;Cais da Santos Brasil (SSZ 16) - Privativo;01/01/2025 19:44;3
9630420;33;Paranaguá;TCP;02/02/2025 18:10;7
9526954;33;Salvador;TECON Área 2;01/09/2025 20:08;4
9618305;33;Rio Grande;Cais Tecon Rio Grande S.A.;01/05/2025 21:30;7
9526966;31;Paranaguá;TCP;02/04/2025 15:38;3
9356141;30;Santos;Cais da Santos Brasil (SSZ 16) - Privativo;01/10/2025 13:55;6
9622253;28;Rio Grande;Cais Tecon Rio Grande S.A.;01/06/2025 11:32;3
9366512;27;Rio Grande;Cais Tecon Rio Grande S.A.;01/12/2025 22:20;1
9348065;27;Terminal Portuário do Pecém;Terminal Portuário do Pecém;02/02/2025 06:40;5
9622215;27;Santos;Cais da BTP (SSZ 41) - Privativo;01/02/2025 08:53;3
9777175;26;Santos;Cais da BTP (SSZ 41) - Privativo;02/02/2025 14:30;4
9687526;26;Paranaguá;TCP;01/09/2025 07:40;5
9937323;25;Santos;Cais da BTP (SSZ 41) - Privativo;01/07/2025 14:48;4
9444845;25;Paranaguá;TCP;01/10/2025 17:27;3
9793923;25;Rio Grande;Cais Tecon Rio Grande S.A.;02/08/2025 23:36;4
9527063;25;Paranaguá;TCP;05/01/2025 13:06;3
9768007;25;Santos;Cais da BTP (SSZ 41) - Privativo;01/04/2025 19:30;6
9348053;23;Rio de Janeiro;ICTSI;04/05/2025 05:35;5
9945875;23;Rio de Janeiro;ICTSI;01/09/2025 17:10;4
9250983;23;Itajaí;Cais Arrendado Transitoriamente;01/06/2025 09:30;7
9702077;23;Terminal Portuário do Pecém;Terminal Portuário do Pecém;01/05/2025 15:10;5
9702261;23;Santos;Cais da Santos Brasil (SSZ 16) - Privativo;03/02/2025 13:32;6
9623673;22;Rio Grande;Cais Tecon Rio Grande S.A.;04/02/2025 01:15;5
9970002;22;Paranaguá;TCP;01/02/2025 03:15;6
9756729;22;Santos;Cais da BTP (SSZ 41) - Privativo;03/10/2025 09:36;6
9770751;22;Paranaguá;TCP;01/04/2025 03:42;4
9327798;22;Rio de Janeiro;Multi-Rio;02/01/2025 12:35;3
9527049;22;Santos;Cais da BTP (SSZ 41) - Privativo;02/12/2025 03:39;3
9945887;22;Paranaguá;TCP;04/10/2025 07:50;4
9619438;22;Portonave - Terminais Portuários de Navegantes;Portonave - Terminais Portuários de Navegantes;01/02/2025 08:50;5
