vessel_name_final;n_calls;imo;vessel_type
TIGER PLATA;44;9744685;Container Ship
CZECH;36;9723241;Container Ship
SPIRIT OF DUBAI;27;9366512;Container Ship
COPIAPO;26;9687526;Container Ship
CAPE ARTEMISIO;26;9777175;Container Ship
SANTA INES;25;9444845;Container Ship
RDO FORTUNE;22;9623673;Container Ship
GREENLAND;22;9970002;Container Ship
GSL ARCADIA;21;9214214;Container Ship
AS SABINE;21;9813802;Container Ship
WIELAND;20;9654464;Container Ship
KURE;19;9085522;Container Ship
CATHERINE C;19;9969998;Container Ship
CARDIFF;18;9629457;Container Ship
ENSENADA;18;9247546;Container Ship
SUNNY PHOENIX;17;9227027;Container Ship
ATETI;17;9222297;Container Ship
MALIAKOS;17;9464247;Container Ship
SWANSEA;17;9629469;Container Ship
HANS SCHULTE;16;9531909;Container Ship
VELIKA;15;9243162;Container Ship
IRENES RESOLVE;14;9227273;Container Ship
MONA LISA;14;9309277;Container Ship
SEASPAN EMPIRE;14;9407160;Container Ship
NAVIOS DOMINO;14;9478494;Container Ship
JAZAN;14;9349540;Container Ship
CHLOE D;14;9241190;Container Ship
ALESSIA;14;9225653;Container Ship
XIN WEI HAI;14;9312573;Container Ship
LONCOMILLA;13;9437385;Container Ship
CAPE PIONEER;13;9719874;Container Ship
EPAMINONDAS;13;9153862;Container Ship
IRENES WISDOM;13;9953391;Container Ship
TIGER GAUCHO;13;9405100;Container Ship
AS CAROLINA;13;9314935;Container Ship
EUROPE;13;9285988;Container Ship
NAVIOS VERMILION;12;9324837;Container Ship
IRENES RULE;12;9953561;Container Ship
PALENA;12;9306196;Container Ship
VIVALDI;11;9429326;Container Ship
BROOKLYN BRIDGE;11;9458999;Container Ship
XIN CHONG QING;10;9262118;Container Ship
SPYROS V;10;9453365;Container Ship
SEATTLE C;10;9360910;Container Ship
AS CASPRIA;9;9399753;Container Ship
C HAMBURG;9;9450375;Container Ship
RDO ENDEAVOUR;8;9302102;Container Ship
SEASPAN HAMBURG;8;9224300;Container Ship
NYK DIANA;8;9337688;Container Ship
ANNIE B;8;9253026;Container Ship
MAIPO;8;9400083;Container Ship
BF HAMBURG;8;9332860;Container Ship
LE HAVRE;8;9307243;Container Ship
XIN CHANG SHA;7;9312559;Container Ship
SAN ALBERTO;7;9344643;Container Ship
MYD TIANJIN;7;9202168;Container Ship
SEASPAN BELIEF;7;9713351;Container Ship
CAPE SOUNIO;7;9727625;Container Ship
GSL ROSSI;7;9565338;Container Ship
CAPE KORTIA;7;9727613;Container Ship
NOBLE STAR;6;9230232;Container Ship
LORI;6;9631125;Container Ship
EMERALD TOWER;6;9618288;Container Ship
AS SILJE;6;9813826;Container Ship
BARTOLOMEU DIAS;6;9625384;Container Ship
NYK DEMETER;6;9337664;Container Ship
SEASPAN ZAMBEZI;6;9630406;Container Ship
VALOR;6;9628154;Container Ship
ASTRAIOS;6;9961465;Container Ship
CAPE SOREL;5;9969869;Container Ship
MUARA;5;9216731;Container Ship
RUBY TOWER;5;9618276;Container Ship
NAVARINO;5;9400289;Container Ship
DELPHINUS C;5;9337652;Container Ship
CORCOVADO;4;9687564;Container Ship
FERNAO DE MAGALHAES;4;9603221;Container Ship
WIDE HOTEL;4;9694593;Container Ship
BREMEN BELLE;4;9367188;Container Ship
AS SAMANTA;4;9410260;Container Ship
ATACAMA;4;9718947;Container Ship
BRIGHT;4;9778399;Container Ship
CONTI MAKALU;4;9286243;Container Ship
BREMEN;4;9450387;Container Ship
NYK FUTAGO;3;9487524;Container Ship
CAPE BYRON;3;9950090;Container Ship
VICENTE PINZON;3;9625396;Container Ship
SEATRADE COLOMBIA;3;9976238;Container Ship
VELON 1;3;9122473;Container Ship
NYK DAEDALUS;3;9337614;Container Ship
MOL EARNEST;3;9333840;Container Ship
MOL EXPERIENCE;3;9333838;Container Ship
CISNES;3;9687576;Container Ship
ADRASTOS;2;9951185;Container Ship
ARISTA;2;9348493;Container Ship
LI DA XING;2;9313199;Container Ship
GSL NINGBO;2;9256482;Container Ship
ARTEMIS;2;9366225;Container Ship
W KYRENIA;2;9211494;Container Ship
TRAIGUEN;2;9627904;Container Ship
SEASPAN OSAKA;2;9486116;Container Ship
