imo;vessel_name;vessel_type;flag;scraped_at;status
9744685;TIGER PLATA;Container Ship;;2026-07-02T18:11:21.677930+00:00;OK
9723253;BREMERHAVEN EXPRESS;Container Ship;;2026-07-02T18:11:31.694242+00:00;OK
9619464;MSC AGADIR;Container Ship;;2026-07-02T18:11:42.013604+00:00;OK
9720201;MSC DOMITILLE;Container Ship;;2026-07-02T18:11:54.626701+00:00;OK
9723241;CZECH;Container Ship;;2026-07-02T18:12:05.946433+00:00;OK
9527051;MAERSK LAMANAI;Container Ship;;2026-07-02T18:12:15.427055+00:00;OK
9630420;XIAMEN EXPRESS;Container Ship;;2026-07-02T18:12:26.010305+00:00;OK
9526954;MAERSK LOTA;Container Ship;;2026-07-02T18:12:37.600654+00:00;OK
9618305;MSC ATHENS;Container Ship;;2026-07-02T18:12:50.658352+00:00;OK
9526966;MAERSK LEON;Container Ship;;2026-07-02T18:13:03.144591+00:00;OK
9356141;MERCOSUL SUAPE;Container Ship;;2026-07-02T18:13:13.423816+00:00;OK
9622253;SAN RAPHAEL MAERSK;Container Ship;;2026-07-02T18:13:24.328609+00:00;OK
9366512;SPIRIT OF DUBAI;Container Ship;;2026-07-02T18:13:35.388486+00:00;OK
9348065;MAERSK MONTE ALEGRE;Container Ship;;2026-07-02T18:13:47.808878+00:00;OK
9622215;SAN MARCO MAERSK;Container Ship;;2026-07-02T18:13:57.413944+00:00;OK
9777175;CAPE ARTEMISIO;Container Ship;;2026-07-02T18:14:10.032769+00:00;OK
9687526;COPIAPO;Container Ship;;2026-07-02T18:14:22.489835+00:00;OK
9937323;ONE AMAZON;Container Ship;;2026-07-02T18:14:33.569461+00:00;OK
9444845;SANTA INES;Container Ship;;2026-07-02T18:14:44.580079+00:00;OK
9793923;ESPIRITO SANTO EXP;Container Ship;;2026-07-02T18:14:54.334089+00:00;OK
9527063;MAERSK LABREA;Container Ship;;2026-07-02T18:15:06.289678+00:00;OK
9768007;LAEM CHABANG EXPRESS;Container Ship;;2026-07-02T18:15:16.508644+00:00;OK
9348053;MAERSK MONTE AZUL;Container Ship;;2026-07-02T18:15:28.354914+00:00;OK
9945875;COSCO SHIPPING PERU;Container Ship;;2026-07-02T18:15:37.793049+00:00;OK
9250983;MSC DAMLA;Container Ship;;2026-07-02T18:15:48.055850+00:00;OK
9702077;MSC MELINE;Container Ship;;2026-07-02T18:15:58.325748+00:00;OK
9702261;MSC SARA ELENA;Container Ship;;2026-07-02T18:16:08.910749+00:00;OK
9623673;RDO FORTUNE;Container Ship;;2026-07-02T18:16:18.325344+00:00;OK
9970002;GREENLAND;Container Ship;;2026-07-02T18:16:28.049502+00:00;OK
9756729;MSC AVNI;Container Ship;;2026-07-02T18:16:39.866468+00:00;OK
9770751;MSC AINO;Container Ship;;2026-07-02T18:16:50.724710+00:00;OK
9327798;MSC LOS ANGELES;Container Ship;;2026-07-02T18:17:01.175467+00:00;OK
9527049;MAERSK LANCO;Container Ship;;2026-07-02T18:17:13.146701+00:00;OK
9945887;COSCO SHIPPING CHILE;Container Ship;;2026-07-02T18:17:22.618867+00:00;OK
9619438;MSC ALBANY;Container Ship;;2026-07-02T18:17:33.169549+00:00;OK
